# Catalog from Lengline et al. (GRL, 2016, doi: 10.1002/2016GL068383)
# Origin time             Lat(deg)     Lon(deg)    Dep(km)
2015-04-18 06:04:36.450  -21.241522    55.705990    8.845
2015-04-18 06:04:57.020  -21.243728    55.705135    8.347
2015-04-18 06:05:36.500  -21.243062    55.706323    8.992
2015-04-18 06:05:51.880  -21.243660    55.705147    8.359
2015-04-18 06:06:12.610  -21.243660    55.705204    8.354
2015-04-18 06:07:02.020  -21.242995    55.706421    9.024
2015-04-18 06:07:48.210  -21.243632    55.705233    8.368
2015-04-18 06:07:48.210  -21.243673    55.705200    8.360
2015-04-18 06:10:15.480  -21.243394    55.705619    8.552
2015-04-18 06:11:03.430  -21.243803    55.705245    8.370
2015-04-18 06:11:39.810  -21.243343    55.705485    8.644
2015-04-18 06:12:16.410  -21.243636    55.705269    8.366
2015-04-18 06:12:16.410  -21.243744    55.705229    8.357
2015-04-18 06:13:31.720  -21.243829    55.705233    8.359
2015-04-18 06:14:44.950  -21.243058    55.703532    8.432
2015-04-18 06:15:00.720  -21.243707    55.705306    8.365
2015-04-18 06:15:00.720  -21.243795    55.705261    8.361
2015-04-18 06:15:51.670  -21.243599    55.705440    8.516
2015-04-18 06:16:59.110  -21.243842    55.705294    8.366
2015-04-18 06:17:53.270  -21.243111    55.706042    8.829
2015-04-18 06:18:33.980  -21.241744    55.705729    8.698
2015-04-18 06:21:30.630  -21.243658    55.705233    8.358
2015-04-18 06:21:30.620  -21.243866    55.705208    8.343
2015-04-18 06:23:47.730  -21.243872    55.705428    8.394
2015-04-18 06:26:12.170  -21.243713    55.705558    8.514
2015-04-18 06:27:15.660  -21.245007    55.704309    7.660
2015-04-18 06:29:23.870  -21.243547    55.705591    8.519
2015-04-18 06:33:39.690  -21.243882    55.705160    8.243
2015-04-18 06:33:39.810  -21.243935    55.705273    8.338
2015-04-18 06:46:14.540  -21.243669    55.704358    8.199
2015-04-18 06:48:51.030  -21.242784    55.706022    8.731
2015-04-18 06:54:23.150  -21.241437    55.705900    8.931
2015-04-18 07:04:06.710  -21.243892    55.705404    8.383
2015-04-18 07:08:14.910  -21.242684    55.704789    8.393
2015-04-18 07:12:38.400  -21.243207    55.704635    8.374
2015-04-18 07:18:30.650  -21.245510    55.703898    7.291
2015-04-18 07:21:55.950  -21.245026    55.704260    7.649
2015-04-18 07:40:22.460  -21.246006    55.701290    6.925
2015-04-18 07:49:57.660  -21.245811    55.701599    7.129
2015-04-18 07:53:35.070  -21.241355    55.708500    8.911
2015-04-18 08:54:06.070  -21.241461    55.708940    8.907
2015-04-18 09:28:33.060  -21.245046    55.704431    7.605
2015-04-18 09:46:49.950  -21.241762    55.707857    8.882
2015-04-18 10:01:21.360  -21.245510    55.702014    7.268
2015-04-18 10:03:17.870  -21.241343    55.709021    8.906
2015-04-18 10:12:35.530  -21.245099    55.704277    7.600
2015-04-18 10:28:14.310  -21.242912    55.708032    8.952
2015-04-18 10:29:21.790  -21.245467    55.702189    7.325
2015-04-18 10:29:22.190  -21.242080    55.704993    8.676
2015-04-18 10:43:47.250  -21.245026    55.704183    7.616
2015-04-18 10:44:52.680  -21.241475    55.708626    8.965
2015-04-18 10:51:00.970  -21.241579    55.708663    8.939
2015-04-18 11:02:31.450  -21.241665    55.707951    8.888
